trade_id,trade_date,source_report,currency,raw_pair,synthetic_pair,action,units_delta_ccy,execution_price_ccyusd,notional_usd,fee_usd,realized_pnl_usd,post_trade_units_ccy,post_trade_avg_entry_ccyusd,comment
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_03.md,MXN,USD/MXN,MXNUSD,rebalance,168.09563307,0.05630054,9.46,0.0,0.0,142019.77563307,0.05639682,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_03.md,AUD,AUD/USD,AUDUSD,rebalance,6.81849293,0.69597,4.75,0.0,0.0,11488.6986508,0.69674954,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_03.md,GBP,GBP/USD,GBPUSD,rebalance,4.9573015,1.34009,6.64,0.0,0.0,5220.78061921,1.34206812,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_03.md,EUR,EUR/USD,EURUSD,rebalance,1.07360048,1.15987,1.25,0.0,0.0,4308.55914887,1.16076978,Reduce target 5.00%
20260325-002-CHF,2026-03-25,weekly_fx_review_260325_03.md,CHF,USD/CHF,CHFUSD,rebalance,22.25177873,1.26253062,28.09,0.0,0.0,10275.02290386,1.26784945,Build on weakness target 13.00%
20260325-003-JPY,2026-03-25,weekly_fx_review_260325_03.md,JPY,USD/JPY,JPYUSD,rebalance,4060.13843723,0.00626996,25.46,0.0,0.0,2068998.43913763,0.0062963,Hold / stage target 13.00%
20260325-004-CAD,2026-03-25,weekly_fx_review_260325_03.md,CAD,USD/CAD,CADUSD,rebalance,-0.23501328,0.72374087,0.17,0.0,-0.0,13787.9044677,0.72498441,Hold target 10.00%
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_03.md,MXN,USD/MXN,MXNUSD,rebalance,-249.41072635,0.05631005,14.04,0.0,-0.02,141770.36490672,0.05639682,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_03.md,AUD,AUD/USD,AUDUSD,rebalance,0.91145843,0.69481,0.63,0.0,0.0,11489.61010924,0.69674938,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_03.md,GBP,GBP/USD,GBPUSD,rebalance,6.80840056,1.33622,9.1,0.0,0.0,5227.58901977,1.3420605,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_03.md,EUR,EUR/USD,EURUSD,rebalance,6.96378913,1.15616,8.05,0.0,0.0,4315.522938,1.16076234,Reduce target 5.00%
20260325-002-CHF,2026-03-25,weekly_fx_review_260325_04.md,CHF,USD/CHF,CHFUSD,rebalance,-4.89158574,1.26316853,6.18,0.0,-0.02,10270.13131812,1.26784945,Build on weakness target 13.00%
20260325-003-JPY,2026-03-25,weekly_fx_review_260325_04.md,JPY,USD/JPY,JPYUSD,rebalance,-475.73065038,0.00627158,2.98,0.0,-0.01,2068522.70848725,0.0062963,Hold / stage target 13.00%
20260325-004-CAD,2026-03-25,weekly_fx_review_260325_04.md,CAD,USD/CAD,CADUSD,rebalance,-4.49047372,0.72399763,3.25,0.0,-0.0,13783.41399398,0.72498441,Hold target 10.00%
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_04.md,MXN,USD/MXN,MXNUSD,rebalance,135.27190508,0.056258,7.61,0.0,0.0,141905.6368118,0.05639669,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_04.md,AUD,AUD/USD,AUDUSD,rebalance,5.46145304,0.6945,3.79,0.0,0.0,11495.07156228,0.69674831,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_04.md,GBP,GBP/USD,GBPUSD,rebalance,-0.43538717,1.33637,0.58,0.0,-0.0,5227.1536326,1.3420605,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_04.md,EUR,EUR/USD,EURUSD,rebalance,0.46095571,1.15607,0.53,0.0,0.0,4315.98389371,1.16076184,Reduce target 5.00%
20260325-002-CHF,2026-03-25,weekly_fx_review_260325_05.md,CHF,USD/CHF,CHFUSD,rebalance,-1.66898506,1.26337599,2.11,0.0,-0.01,10268.46233306,1.26784945,Build on weakness target 13.00%
20260325-003-JPY,2026-03-25,weekly_fx_review_260325_05.md,JPY,USD/JPY,JPYUSD,rebalance,-668.6036085,0.00627362,4.19,0.0,-0.02,2067854.10487874,0.0062963,Hold / stage target 13.00%
20260325-004-CAD,2026-03-25,weekly_fx_review_260325_05.md,CAD,USD/CAD,CADUSD,rebalance,0.42264778,0.72397666,0.31,0.0,0.0,13783.83664176,0.72498438,Hold target 10.00%
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_05.md,MXN,USD/MXN,MXNUSD,rebalance,46.94428708,0.05623949,2.64,0.0,0.0,141952.58109888,0.05639664,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_05.md,AUD,AUD/USD,AUDUSD,rebalance,3.99334136,0.69426,2.77,0.0,0.0,11499.06490364,0.69674745,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_05.md,GBP,GBP/USD,GBPUSD,rebalance,0.4783225,1.33625,0.64,0.0,0.0,5227.6319551,1.34205997,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_05.md,EUR,EUR/USD,EURUSD,rebalance,-0.14197555,1.15611,0.16,0.0,-0.0,4315.84191816,1.16076184,Reduce target 5.00%
20260325-002-CHF,2026-03-25,weekly_fx_review_260325_06.md,CHF,USD/CHF,CHFUSD,rebalance,0.22901892,1.26323236,0.29,0.0,0.0,10268.69135198,1.26784935,Build on weakness target 13.00%
20260325-003-JPY,2026-03-25,weekly_fx_review_260325_06.md,JPY,USD/JPY,JPYUSD,rebalance,270.34759658,0.00627223,1.7,0.0,0.0,2068124.45247533,0.0062963,Hold / stage target 13.00%
20260325-004-CAD,2026-03-25,weekly_fx_review_260325_06.md,CAD,USD/CAD,CADUSD,rebalance,0.93550896,0.72386137,0.68,0.0,0.0,13784.77215072,0.72498431,Hold target 10.00%
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_06.md,MXN,USD/MXN,MXNUSD,rebalance,-2.91500045,0.05623551,0.16,0.0,-0.0,141949.66609843,0.05639664,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_06.md,AUD,AUD/USD,AUDUSD,rebalance,0.77115485,0.69415,0.54,0.0,0.0,11499.83605849,0.69674728,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_06.md,GBP,GBP/USD,GBPUSD,rebalance,0.18733716,1.33608,0.25,0.0,0.0,5227.81929226,1.34205976,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_06.md,EUR,EUR/USD,EURUSD,rebalance,-0.02112076,1.15601,0.02,0.0,-0.0,4315.8207974,1.16076184,Reduce target 5.00%
20260325-002-CHF,2026-03-25,weekly_fx_review_260325_07.md,CHF,USD/CHF,CHFUSD,rebalance,0.15739951,1.26324832,0.2,0.0,0.0,10268.8487515,1.26784927,Build on weakness target 13.00%
20260325-003-JPY,2026-03-25,weekly_fx_review_260325_07.md,JPY,USD/JPY,JPYUSD,rebalance,-310.06255972,0.00627334,1.95,0.0,-0.01,2067814.38991561,0.0062963,Hold / stage target 13.00%
20260325-004-CAD,2026-03-25,weekly_fx_review_260325_07.md,CAD,USD/CAD,CADUSD,rebalance,-0.11349423,0.72388757,0.08,0.0,-0.0,13784.65865649,0.72498431,Hold target 10.00%
20260325-005-MXN,2026-03-25,weekly_fx_review_260325_07.md,MXN,USD/MXN,MXNUSD,rebalance,18.17846798,0.05622988,1.02,0.0,0.0,141967.84456642,0.05639662,Hold / stage target 8.00%
20260325-006-AUD,2026-03-25,weekly_fx_review_260325_07.md,AUD,AUD/USD,AUDUSD,rebalance,0.98427258,0.69411,0.68,0.0,0.0,11500.82033107,0.69674705,Hold / stage target 8.00%
20260325-007-GBP,2026-03-25,weekly_fx_review_260325_07.md,GBP,GBP/USD,GBPUSD,rebalance,-0.44069726,1.33623,0.59,0.0,-0.0,5227.378595,1.34205976,Reduce target 7.00%
20260325-008-EUR,2026-03-25,weekly_fx_review_260325_07.md,EUR,EUR/USD,EURUSD,rebalance,-0.25264212,1.15611,0.29,0.0,-0.0,4315.56815528,1.16076184,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_02.md,CHF,USD/CHF,CHFUSD,rebalance,4.48423256,1.26245092,5.66,0.0,0.0,10273.33298406,1.26784692,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_02.md,JPY,USD/JPY,JPYUSD,rebalance,89.73709173,0.00627185,0.56,0.0,0.0,2067904.12700734,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_02.md,CAD,USD/CAD,CADUSD,rebalance,4.59741735,0.72350524,3.33,0.0,0.0,13789.25607384,0.72498381,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_02.md,MXN,USD/MXN,MXNUSD,rebalance,-80.73340121,0.05625091,4.54,0.0,-0.01,141887.11116521,0.05639662,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_02.md,AUD,AUD/USD,AUDUSD,rebalance,-0.25231136,0.69399,0.18,0.0,-0.0,11500.56801971,0.69674705,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_02.md,GBP,GBP/USD,GBPUSD,rebalance,0.82055754,1.33576,1.1,0.0,0.0,5228.19915254,1.34205877,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_02.md,EUR,EUR/USD,EURUSD,rebalance,0.91405371,1.15564,1.06,0.0,0.0,4316.48220899,1.16076075,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_03.md,CHF,USD/CHF,CHFUSD,rebalance,-0.5380319,1.26135217,0.68,0.0,-0.0,10272.79495216,1.26784692,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_03.md,JPY,USD/JPY,JPYUSD,rebalance,-414.86493708,0.00626732,2.6,0.0,-0.01,2067489.26207026,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_03.md,CAD,USD/CAD,CADUSD,rebalance,9.60417976,0.72233459,6.94,0.0,0.0,13798.8602536,0.72498197,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_03.md,MXN,USD/MXN,MXNUSD,rebalance,366.73861127,0.05605413,20.56,0.0,0.0,142253.84977648,0.05639573,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_03.md,AUD,AUD/USD,AUDUSD,rebalance,12.78090749,0.69258,8.85,0.0,0.0,11513.3489272,0.69674242,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_03.md,GBP,GBP/USD,GBPUSD,rebalance,-0.51884445,1.33466,0.69,0.0,-0.0,5227.68030809,1.34205877,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_03.md,EUR,EUR/USD,EURUSD,rebalance,0.64963439,1.1544,0.75,0.0,0.0,4317.13184338,1.16075979,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_04.md,CHF,USD/CHF,CHFUSD,rebalance,17.32928491,1.25726068,21.79,0.0,0.0,10290.12423707,1.26782909,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_04.md,JPY,USD/JPY,JPYUSD,rebalance,-60.11204763,0.00625771,0.38,0.0,-0.0,2067429.15002263,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_04.md,CAD,USD/CAD,CADUSD,rebalance,-17.67666622,0.72213115,12.76,0.0,-0.05,13781.18358738,0.72498197,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_04.md,MXN,USD/MXN,MXNUSD,rebalance,255.76357606,0.05586611,14.29,0.0,0.0,142509.61335254,0.05639478,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_04.md,AUD,AUD/USD,AUDUSD,rebalance,46.27182404,0.68873,31.87,0.0,0.0,11559.62075124,0.69671035,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_04.md,GBP,GBP/USD,GBPUSD,rebalance,1.23551915,1.33226,1.65,0.0,0.0,5228.91582724,1.34205645,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_04.md,EUR,EUR/USD,EURUSD,rebalance,-0.3502282,1.15269,0.4,0.0,-0.0,4316.78161518,1.16075979,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_06.md,CHF,USD/CHF,CHFUSD,rebalance,-0.02348785,1.25669188,0.03,0.0,-0.0,10290.10074921,1.26782909,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_06.md,JPY,USD/JPY,JPYUSD,rebalance,-415.79817158,0.00625612,2.6,0.0,-0.02,2067013.35185104,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_06.md,CAD,USD/CAD,CADUSD,rebalance,0.79640612,0.7217611,0.57,0.0,0.0,13781.9799935,0.72498178,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_06.md,MXN,USD/MXN,MXNUSD,rebalance,283.6759257,0.05572977,15.81,0.0,0.0,142793.28927825,0.05639346,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_06.md,AUD,AUD/USD,AUDUSD,rebalance,6.3312283,0.68804,4.36,0.0,0.0,11565.95197954,0.69670561,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_06.md,GBP,GBP/USD,GBPUSD,rebalance,0.09515929,1.33163,0.13,0.0,0.0,5229.01098654,1.34205626,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_06.md,EUR,EUR/USD,EURUSD,rebalance,-1.73819274,1.15263,2.0,0.0,-0.01,4315.04342243,1.16075979,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_07.md,CHF,USD/CHF,CHFUSD,rebalance,-7.40351531,1.25865324,9.32,0.0,-0.07,10282.6972339,1.26782909,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_07.md,JPY,USD/JPY,JPYUSD,rebalance,-809.4639062,0.00626383,5.07,0.0,-0.03,2066203.88794485,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_07.md,CAD,USD/CAD,CADUSD,rebalance,7.39724882,0.72197996,5.34,0.0,0.0,13789.37724232,0.72498017,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_07.md,MXN,USD/MXN,MXNUSD,rebalance,-119.4489661,0.05582329,6.67,0.0,-0.07,142673.84031214,0.05639346,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_07.md,AUD,AUD/USD,AUDUSD,rebalance,-11.10750414,0.68928,7.66,0.0,-0.08,11554.84447539,0.69670561,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_07.md,GBP,GBP/USD,GBPUSD,rebalance,-4.08217465,1.33379,5.44,0.0,-0.03,5224.92881188,1.34205626,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_07.md,EUR,EUR/USD,EURUSD,rebalance,-1.12800515,1.1539,1.3,0.0,-0.01,4313.91541728,1.16075979,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_08.md,CHF,USD/CHF,CHFUSD,rebalance,0.91335998,1.258479,1.15,0.0,0.0,10283.61059388,1.26782826,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_08.md,JPY,USD/JPY,JPYUSD,rebalance,149.57934183,0.00626307,0.94,0.0,0.0,2066353.46728668,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_08.md,CAD,USD/CAD,CADUSD,rebalance,-0.18647152,0.7219539,0.13,0.0,-0.0,13789.1907708,0.72498017,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_08.md,MXN,USD/MXN,MXNUSD,rebalance,16.57397778,0.05581404,0.93,0.0,0.0,142690.41428992,0.05639339,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_08.md,AUD,AUD/USD,AUDUSD,rebalance,-2.24938996,0.68938,1.55,0.0,-0.02,11552.59508544,0.69670561,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_08.md,GBP,GBP/USD,GBPUSD,rebalance,0.05413044,1.33371,0.07,0.0,0.0,5224.98294232,1.34205618,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_08.md,EUR,EUR/USD,EURUSD,rebalance,0.0850334,1.15382,0.1,0.0,0.0,4314.00045068,1.16075966,Reduce target 5.00%
20260326-002-CHF,2026-03-26,weekly_fx_review_260326_09.md,CHF,USD/CHF,CHFUSD,rebalance,-0.61383348,1.25865324,0.77,0.0,-0.01,10282.9967604,1.26782826,Build on weakness target 13.00%
20260326-003-JPY,2026-03-26,weekly_fx_review_260326_09.md,JPY,USD/JPY,JPYUSD,rebalance,202.72482828,0.00626294,1.27,0.0,0.0,2066556.19211496,0.00629629,Hold / stage target 13.00%
20260326-004-CAD,2026-03-26,weekly_fx_review_260326_09.md,CAD,USD/CAD,CADUSD,rebalance,-2.99599512,0.72216766,2.16,0.0,-0.01,13786.19477568,0.72498017,Hold target 10.00%
20260326-005-MXN,2026-03-26,weekly_fx_review_260326_09.md,MXN,USD/MXN,MXNUSD,rebalance,-25.87844262,0.05582856,1.44,0.0,-0.01,142664.5358473,0.05639339,Hold / stage target 8.00%
20260326-006-AUD,2026-03-26,weekly_fx_review_260326_09.md,AUD,AUD/USD,AUDUSD,rebalance,0.74221275,0.68939,0.51,0.0,0.0,11553.33729819,0.69670514,Hold / stage target 8.00%
20260326-007-GBP,2026-03-26,weekly_fx_review_260326_09.md,GBP,GBP/USD,GBPUSD,rebalance,-0.21531129,1.33387,0.29,0.0,-0.0,5224.76763103,1.34205618,Reduce target 7.00%
20260326-008-EUR,2026-03-26,weekly_fx_review_260326_09.md,EUR,EUR/USD,EURUSD,rebalance,0.04062741,1.1539,0.05,0.0,0.0,4314.04107808,1.16075959,Reduce target 5.00%
20260328-002-CHF,2026-03-28,weekly_fx_review_260328_01.md,CHF,USD/CHF,CHFUSD,rebalance,11.03234367,1.25349411,13.83,0.0,0.0,10294.02910407,1.2678129,Build on weakness target 13.00%
20260328-003-JPY,2026-03-28,weekly_fx_review_260328_01.md,JPY,USD/JPY,JPYUSD,rebalance,2153.97195573,0.00623746,13.44,0.0,0.0,2068710.16407069,0.00629623,Hold / stage target 13.00%
20260328-004-CAD,2026-03-28,weekly_fx_review_260328_01.md,CAD,USD/CAD,CADUSD,rebalance,3.68165322,0.71978694,2.65,0.0,0.0,13789.8764289,0.72497879,Hold target 10.00%
20260328-005-MXN,2026-03-28,weekly_fx_review_260328_01.md,MXN,USD/MXN,MXNUSD,rebalance,1224.9485874,0.05518554,67.6,0.0,0.0,143889.4844347,0.05638311,Hold / stage target 8.00%
20260328-006-AUD,2026-03-28,weekly_fx_review_260328_01.md,AUD,AUD/USD,AUDUSD,rebalance,-7.88111371,0.68777,5.42,0.0,-0.07,11545.45618448,0.69670514,Hold / stage target 8.00%
20260328-007-GBP,2026-03-28,weekly_fx_review_260328_01.md,GBP,GBP/USD,GBPUSD,rebalance,14.76625833,1.32608,19.58,0.0,0.0,5239.53388936,1.34201115,Reduce target 7.00%
20260328-008-EUR,2026-03-28,weekly_fx_review_260328_01.md,EUR,EUR/USD,EURUSD,rebalance,-2.6864843,1.15112,3.09,0.0,-0.03,4311.35459379,1.16075959,Reduce target 5.00%
20260328-002-CHF,2026-03-28,weekly_fx_review_260328_04.md,CHF,USD/CHF,CHFUSD,rebalance,7.27128032,1.25285023,9.11,0.0,0.0,10301.30038439,1.26780234,Build on weakness target 13.00%
20260328-003-JPY,2026-03-28,weekly_fx_review_260328_04.md,JPY,USD/JPY,JPYUSD,rebalance,-410.94813995,0.0062399,2.56,0.0,-0.02,2068299.21593074,0.00629623,Hold / stage target 13.00%
20260328-004-CAD,2026-03-28,weekly_fx_review_260328_04.md,CAD,USD/CAD,CADUSD,rebalance,-3.50298914,0.7201083,2.52,0.0,-0.02,13786.37343976,0.72497879,Hold target 10.00%
20260328-005-MXN,2026-03-28,weekly_fx_review_260328_04.md,MXN,USD/MXN,MXNUSD,rebalance,29.73887562,0.05518474,1.64,0.0,0.0,143919.22331032,0.05638286,Hold / stage target 8.00%
20260328-006-AUD,2026-03-28,weekly_fx_review_260328_04.md,AUD,AUD/USD,AUDUSD,rebalance,2.55632006,0.68775,1.76,0.0,0.0,11548.01250454,0.69670315,Hold / stage target 8.00%
20260328-007-GBP,2026-03-28,weekly_fx_review_260328_04.md,GBP,GBP/USD,GBPUSD,rebalance,-3.17796609,1.32714,4.22,0.0,-0.05,5236.35592326,1.34201115,Reduce target 7.00%
20260328-008-EUR,2026-03-28,weekly_fx_review_260328_04.md,EUR,EUR/USD,EURUSD,rebalance,-8.81407199,1.1537,10.17,0.0,-0.06,4302.5405218,1.16075959,Reduce target 5.00%
20260328-002-CHF,2026-03-28,weekly_fx_review_260328_05.md,CHF,USD/CHF,CHFUSD,rebalance,0.67861027,1.25272468,0.85,0.0,0.0,10301.97899466,1.26780134,Build on weakness target 13.00%
20260328-003-JPY,2026-03-28,weekly_fx_review_260328_05.md,JPY,USD/JPY,JPYUSD,rebalance,-46.9094044,0.00623983,0.29,0.0,-0.0,2068252.30652634,0.00629623,Hold / stage target 13.00%
20260328-004-CAD,2026-03-28,weekly_fx_review_260328_05.md,CAD,USD/CAD,CADUSD,rebalance,1.90902196,0.71998387,1.37,0.0,0.0,13788.28246172,0.72497809,Hold target 10.00%
20260328-005-MXN,2026-03-28,weekly_fx_review_260328_05.md,MXN,USD/MXN,MXNUSD,rebalance,0.37765962,0.0551827,0.02,0.0,0.0,143919.60096994,0.05638286,Hold / stage target 8.00%
20260328-006-AUD,2026-03-28,weekly_fx_review_260328_05.md,AUD,AUD/USD,AUDUSD,rebalance,-0.56455759,0.68776,0.39,0.0,-0.01,11547.44794696,0.69670315,Hold / stage target 8.00%
20260328-007-GBP,2026-03-28,weekly_fx_review_260328_05.md,GBP,GBP/USD,GBPUSD,rebalance,0.37256204,1.327,0.49,0.0,0.0,5236.72848531,1.34201008,Reduce target 7.00%
20260328-008-EUR,2026-03-28,weekly_fx_review_260328_05.md,EUR,EUR/USD,EURUSD,rebalance,-0.85621914,1.15389,0.99,0.0,-0.01,4301.68430266,1.16075959,Reduce target 5.00%
20260329-002-CHF,2026-03-29,weekly_fx_review_260329_02.md,CHF,USD/CHF,CHFUSD,rebalance,-20.86236811,1.25585543,26.2,0.0,-0.25,10281.11662655,1.26780134,Build on weakness target 13.00%
20260329-003-JPY,2026-03-29,weekly_fx_review_260329_02.md,JPY,USD/JPY,JPYUSD,rebalance,-1924.23699312,0.00624857,12.02,0.0,-0.09,2066328.06953322,0.00629623,Hold / stage target 13.00%
20260329-004-CAD,2026-03-29,weekly_fx_review_260329_02.md,CAD,USD/CAD,CADUSD,rebalance,2.69265266,0.72018091,1.94,0.0,0.0,13790.97511438,0.72497716,Hold target 10.00%
20260329-005-MXN,2026-03-29,weekly_fx_review_260329_02.md,MXN,USD/MXN,MXNUSD,rebalance,180.3268961,0.0551395,9.94,0.0,0.0,144099.92786603,0.0563813,Hold / stage target 8.00%
20260329-006-AUD,2026-03-29,weekly_fx_review_260329_02.md,AUD,AUD/USD,AUDUSD,rebalance,5.24786705,0.68777,3.61,0.0,0.0,11552.69581401,0.6966991,Hold / stage target 8.00%
20260329-007-GBP,2026-03-29,weekly_fx_review_260329_02.md,GBP,GBP/USD,GBPUSD,rebalance,0.40383662,1.32752,0.54,0.0,0.0,5237.13232192,1.34200897,Reduce target 7.00%
20260329-008-EUR,2026-03-29,weekly_fx_review_260329_02.md,EUR,EUR/USD,EURUSD,rebalance,4.70460791,1.15317,5.43,0.0,0.0,4306.38891057,1.1607513,Reduce target 5.00%
20260329-002-CHF,2026-03-29,weekly_fx_review_260329_03.md,CHF,USD/CHF,CHFUSD,rebalance,1.06837063,1.25613938,1.34,0.0,0.0,10282.18499717,1.26780013,Build on weakness target 13.00%
20260329-003-JPY,2026-03-29,weekly_fx_review_260329_03.md,JPY,USD/JPY,JPYUSD,rebalance,-1648.68647602,0.00625562,10.31,0.0,-0.07,2064679.3830572,0.00629623,Hold / stage target 13.00%
20260329-004-CAD,2026-03-29,weekly_fx_review_260329_03.md,CAD,USD/CAD,CADUSD,rebalance,2.26652087,0.72030022,1.63,0.0,0.0,13793.24163525,0.72497639,Hold target 10.00%
20260329-005-MXN,2026-03-29,weekly_fx_review_260329_03.md,MXN,USD/MXN,MXNUSD,rebalance,-47.58081903,0.05517591,2.63,0.0,-0.06,144052.347047,0.0563813,Hold / stage target 8.00%
20260329-006-AUD,2026-03-29,weekly_fx_review_260329_03.md,AUD,AUD/USD,AUDUSD,rebalance,0.28537731,0.68798,0.2,0.0,0.0,11552.98119131,0.69669888,Hold / stage target 8.00%
